species,iucn_sid,taxon
abyssobrotula galatheae,60469175,Bony fishes
acanthephyra curtirostris,NA,Crustaceans
acanthephyra eximia,NA,Crustaceans
acanthephyra quadrispinosa,NA,Crustaceans
acanthodoris pilosa,NA,Molluscs
acantholithodes hispidus,NA,Crustaceans
acanthopsetta nadeshnyi,158624465,Bony fishes
acarnus erithacus,NA,Sponges
achelia alaskensis,NA,Crustaceans
achelia assimilis,NA,Crustaceans
achelia borealis,NA,Crustaceans
achelia latifrons,NA,Crustaceans
achelia spinosa,NA,Crustaceans
acipenser medirostris,233,Bony fishes
acipenser transmontanus,234,Bony fishes
acteocina culcitella,NA,Molluscs
adalaria proxima,NA,Molluscs
adelogorgia phyllosclera,NA,Corals and anemones
aeolidia papillosa,NA,Molluscs
aeropsis fulva,NA,Echinoderms
aethia cristatella,22694915,Seabirds
aethia psittacula,22694906,Seabirds
aethia pusilla,22694921,Seabirds
aethia pygmaea,22694918,Seabirds
aglaophamus malmgreni,NA,Polychaetes
agonomalus mozinoi,NA,Bony fishes
agonopsis vulsa,NA,Bony fishes
albatrossia pectoralis,NA,Bony fishes
aldrovandia affinis,190356,Bony fishes
aldrovandia phalacra,195838,Bony fishes
alectrias alectrolophus,NA,Bony fishes
alepisaurus ferox,154820,Bony fishes
alepocephalus tenebrosus,NA,Bony fishes
alia carinata,NA,Molluscs
alitta succinea,NA,Polychaetes
allocareproctus jordani,NA,Bony fishes
allocareproctus unangas,NA,Bony fishes
allocyttus folletti,NA,Bony fishes
allosergestes pestafer,NA,Crustaceans
allosmerus elongatus,NA,Bony fishes
alopias vulpinus,39339,Elasmobranchs
amblyraja badia,161452,Elasmobranchs
amblyraja hyperborea,63119,Elasmobranchs
ammodytes hexapterus,NA,Bony fishes
ammodytes personatus,NA,Bony fishes
ampelisca abdita,NA,Crustaceans
ampelisca agassizi,NA,Crustaceans
ampelisca brevisimulata,NA,Crustaceans
ampelisca cristata,NA,Crustaceans
ampelisca lobata,NA,Crustaceans
ampelisca vadorum,NA,Crustaceans
ampharete finmarchica,NA,Polychaetes
ampheraster marianus,NA,Echinoderms
amphicteis gunneri,NA,Polychaetes
amphicteis scaphobranchiata,NA,Polychaetes
amphilectus digitatus,NA,Sponges
amphiodia occidentalis,NA,Echinoderms
amphiodia periercta,NA,Echinoderms
amphiodia urtica,NA,Echinoderms
amphiophiura superba,NA,Echinoderms
amphioplus macraspis,NA,Echinoderms
amphipholis pugetana,NA,Echinoderms
amphipholis squamata,NA,Echinoderms
amphissa versicolor,NA,Molluscs
amphistichus rhodoterus,NA,Bony fishes
amphitrite cirrata,NA,Polychaetes
amphiura arcystata,NA,Echinoderms
amphiura carchara,NA,Echinoderms
amphiura diomedeae,NA,Echinoderms
ampithoe longimana,NA,Crustaceans
anarrhichthys ocellatus,159099689,Bony fishes
ancistrosyllis groenlandica,NA,Polychaetes
anisarchus medius,NA,Bony fishes
anoplagonus inermis,NA,Bony fishes
anoplarchus insignis,NA,Bony fishes
anoplarchus purpurescens,NA,Bony fishes
anoplodactylus californicus,NA,Crustaceans
anoplodactylus typhlops,NA,Crustaceans
anoplodactylus viridintestinalis,NA,Crustaceans
anoplogaster cornuta,18123960,Bony fishes
anoplopoma fimbria,NA,Bony fishes
anoropallene palpida,NA,Crustaceans
anotopterus nikparini,123321057,Bony fishes
anthopleura artemisia,NA,Corals and anemones
anthopleura elegantissima,NA,Corals and anemones
anthopleura sola,NA,Corals and anemones
anthopleura xanthogrammica,NA,Corals and anemones
antimora microlepis,155287,Bony fishes
antimora rostrata,190385,Bony fishes
aphanopus arigato,NA,Bony fishes
aphelochaeta marioni,NA,Polychaetes
aphelochaeta multifilis,NA,Polychaetes
apodichthys flavidus,NA,Bony fishes
apodichthys fucorum,NA,Bony fishes
apostichopus californicus,180436,Echinoderms
apostichopus leukothele,19711843,Echinoderms
apristurus brunneus,44209,Elasmobranchs
aptocyclus ventricosus,NA,Bony fishes
arabella iricolor,NA,Polychaetes
archistes biseriatus,NA,Bony fishes
arctoscopus japonicus,NA,Bony fishes
arctozenus risso,194997,Bony fishes
argonauta argo,163080,Cephalopods
argyropelecus hemigymnus,154998,Bony fishes
argyropelecus lychnus,137468437,Bony fishes
aricidea lopezi,NA,Polychaetes
aricidea wassi,NA,Polychaetes
aristostomias scintillans,137468866,Bony fishes
aristostomias tittmanni,190353,Bony fishes
artedius corallinus,NA,Bony fishes
artedius fenestralis,NA,Bony fishes
artedius harringtoni,NA,Bony fishes
artedius lateralis,NA,Bony fishes
ascelichthys rhodorus,NA,Bony fishes
asclerocheilus beringianus,NA,Polychaetes
ascorhynchus japonicum,NA,Crustaceans
asemichthys taylori,NA,Bony fishes
aspidophoroides monopterygius,NA,Bony fishes
asteronyx loveni,NA,Echinoderms
asteroschema sublaeve,NA,Echinoderms
astronesthes fedorovi,137469231,Bony fishes
astyris rosacea,NA,Molluscs
atheresthes stomias,158624714,Bony fishes
atherinops affinis,183957,Bony fishes
atlanta californiensis,NA,Molluscs
atractoscion nobilis,183848,Bony fishes
aulorhynchus flavidus,65134524,Bony fishes
auxis rochei,170355,Bony fishes
avocettina bowersii,NA,Bony fishes
avocettina infans,190350,Bony fishes
aythya marila,22680398,Seabirds
bajacalifornia megalops,15147816,Bony fishes
balaenoptera acutorostrata,2474,Marine mammals
balaenoptera borealis,2475,Marine mammals
balaenoptera musculus,2477,Marine mammals
balaenoptera musculus,41713,Marine mammals
balaenoptera physalus,2478,Marine mammals
balaenoptera physalus,16208224,Marine mammals
balanophyllia elegans,NA,Corals and anemones
barbantus curvifrons,18155933,Bony fishes
barbourisia rufa,21110276,Bony fishes
bassozetus robustus,154973,Bony fishes
bassozetus zenkevitchi,137471399,Bony fishes
bathophilus filifer,135435623,Bony fishes
bathophilus flemingi,137471902,Bony fishes
bathyagonus alascanus,NA,Bony fishes
bathyagonus infraspinatus,NA,Bony fishes
bathyagonus nigripinnis,NA,Bony fishes
bathyagonus pentacanthus,NA,Bony fishes
bathycongrus guttulatus,199234,Bony fishes
bathylagus pacificus,NA,Bony fishes
bathylychnops exilis,NA,Bony fishes
bathymaster leurolepis,NA,Bony fishes
bathymaster signatus,NA,Bony fishes
bathyonus caudalis,137472482,Bony fishes
bathypallenopsis longiseta,NA,Crustaceans
bathyraja abyssicola,2636,Elasmobranchs
bathyraja aleutica,161661,Elasmobranchs
bathyraja interrupta,161402,Elasmobranchs
bathyraja interrupta,161706,Elasmobranchs
bathyraja lindbergi,161430,Elasmobranchs
bathyraja parmifera,161471,Elasmobranchs
bathyraja spinosissima,161486,Elasmobranchs
bathyraja trachura,161375,Elasmobranchs
bathyraja trachura,161683,Elasmobranchs
bathyraja violacea,161594,Elasmobranchs
bathysaurus mollis,195001,Bony fishes
benthalbella dentata,123335263,Bony fishes
benthalbella infans,13485675,Bony fishes
benthalbella linguidens,123335390,Bony fishes
bentheogennema burkenroadi,NA,Crustaceans
bentheogennema intermedia,NA,Crustaceans
benthesicymus crenatus,NA,Crustaceans
benthesicymus laciniatus,NA,Crustaceans
benthodesmus pacificus,NA,Bony fishes
benthodytes sanguinolenta,NA,Echinoderms
benthopecten claviger,NA,Echinoderms
berardius bairdii,2763,Marine mammals
beringraja binoculata,44183,Elasmobranchs
beringraja inornata,161466,Elasmobranchs
beringraja rhina,161595,Elasmobranchs
beringraja stellulata,161629,Elasmobranchs
bertella idiomorpha,140348014,Bony fishes
beryx decadactylus,198578,Bony fishes
bispira crassicornis,NA,Polychaetes
blepsias bilobus,NA,Bony fishes
blepsias cirrhosus,NA,Bony fishes
boccardiella hamata,NA,Polychaetes
bolinia euryptera,NA,Bony fishes
bolitaena pygmaea,163312,Cephalopods
bopyroides hippolytes,NA,Crustaceans
boreogennema borealis,NA,Crustaceans
boreomysis arctica,NA,Crustaceans
boreotrophon clathratus,NA,Molluscs
borostomias panamensis,137472733,Bony fishes
bothragonus swanii,NA,Bony fishes
bothrocara brunneum,NA,Bony fishes
bothrocara molle,NA,Bony fishes
bothrocara nyx,NA,Bony fishes
bothrocara pusillum,NA,Bony fishes
bourneotrochus stellulatus,NA,Corals and anemones
brachycarpus biunguiculatus,NA,Crustaceans
brachyistius frenatus,141481252,Bony fishes
brachyramphus brevirostris,22694875,Seabirds
brachyramphus marmoratus,22694870,Seabirds
bradabyssa villosa,NA,Polychaetes
brama japonica,NA,Bony fishes
brisaster latifrons,NA,Echinoderms
brosmophycis marginata,135440575,Bony fishes
bryozoichthys lysimus,NA,Bony fishes
bryozoichthys marjorius,NA,Bony fishes
buccinum plectrum,NA,Molluscs
buccinum polare,NA,Molluscs
buccinum scalariforme,NA,Molluscs
bythograea microps,NA,Crustaceans
bythograea thermydron,NA,Crustaceans
cadlina luteomarginata,NA,Molluscs
cadlina sparsa,NA,Molluscs
calcigorgia spiculifera,NA,Corals and anemones
callipallene californiensis,NA,Crustaceans
callorhinus ursinus,3590,Marine mammals
calyptraea fastigiata,NA,Molluscs
cancer productus,NA,Crustaceans
capheira sulcata,19717509,Echinoderms
capitella capitata,NA,Polychaetes
carcharodon carcharias,3855,Elasmobranchs
cardiomya pectinata,NA,Molluscs
careproctus bowersianus,NA,Bony fishes
careproctus colletti,NA,Bony fishes
careproctus cypselurus,NA,Bony fishes
careproctus ectenes,NA,Bony fishes
careproctus filamentosus,NA,Bony fishes
careproctus furcellus,NA,Bony fishes
careproctus gilberti,NA,Bony fishes
careproctus longifilis,NA,Bony fishes
careproctus lycopersicus,NA,Bony fishes
careproctus melanurus,NA,Bony fishes
careproctus oregonensis,NA,Bony fishes
careproctus simus,NA,Bony fishes
caristius fasciatus,NA,Bony fishes
caristius macropus,NA,Bony fishes
caryophyllia atlantica,NA,Corals and anemones
caryophyllia diomedeae,NA,Corals and anemones
cataetyx simus,135440706,Bony fishes
caulophryne jordani,190447,Bony fishes
caulophryne pelagica,60469615,Bony fishes
caulophryne polynema,21112867,Bony fishes
cephalorhynchus heavisidii,4161,Marine mammals
cepphus columba,22694864,Seabirds
ceramaster clarki,NA,Echinoderms
ceramaster japonicus,NA,Echinoderms
ceramaster patagonicus,NA,Echinoderms
ceratias holboelli,18127741,Bony fishes
ceratoscopelus townsendi,129299900,Bony fishes
ceratostoma foliatum,NA,Molluscs
cerorhinca monocerata,22694924,Seabirds
cetorhinus maximus,4292,Elasmobranchs
chaetopterus variopedatus,NA,Polychaetes
chaetozone setosa,NA,Polychaetes
chascanopsetta prorigera,69743659,Bony fishes
chauliodus macouni,137473074,Bony fishes
chauliodus sloani,190324,Bony fishes
cheiraster dawsoni,NA,Echinoderms
chesnonia verrucosa,NA,Bony fishes
chiasmodon subniger,190109,Bony fishes
chionoecetes opilio,NA,Crustaceans
chirolophis decoratus,NA,Bony fishes
chirolophis nugator,NA,Bony fishes
chitonotus pugetensis,NA,Bony fishes
chlamydoselachus anguineus,41794,Elasmobranchs
chlidonias niger,22694787,Seabirds
chlorophthalmus mento,123322027,Bony fishes
chrionema chryseres,NA,Bony fishes
chromoplexaura marki,NA,Corals and anemones
cistenides hyperborea,NA,Polychaetes
citharichthys sordidus,158620855,Bony fishes
citharichthys stigmaeus,170754059,Bony fishes
clangula hyemalis,22680427,Seabirds
clathria pennata,NA,Sponges
clevelandia ios,NA,Bony fishes
clidoderma asperrimum,158624882,Bony fishes
clinocottus acuticeps,NA,Bony fishes
clinocottus embryum,NA,Bony fishes
clinocottus globiceps,155094,Bony fishes
cliona californiana,NA,Sponges
cliona celata,NA,Sponges
cliona lobata,NA,Sponges
clupea pallasii,98471199,Bony fishes
clymenella torquata,NA,Polychaetes
coenocyathus bowersi,NA,Corals and anemones
colga pacifica,NA,Molluscs
cololabis saira,NA,Bony fishes
colossendeis colossea,NA,Crustaceans
colossendeis cucurbita,NA,Crustaceans
colossendeis macerrima,NA,Crustaceans
colossendeis minor,NA,Crustaceans
compsomyax subdiaphana,NA,Molluscs
conocara salmoneum,15148566,Bony fishes
corambe obscura,NA,Molluscs
corynactis californica,NA,Corals and anemones
coryphaenoides acrolepis,NA,Bony fishes
coryphaenoides armatus,18125776,Bony fishes
coryphaenoides cinereus,NA,Bony fishes
coryphaenoides filifer,NA,Bony fishes
coryphaenoides leptolepis,15522140,Bony fishes
coryphaenoides yaquinae,NA,Bony fishes
coryphella verrucosa,NA,Molluscs
crangon franciscorum,NA,Crustaceans
craniella arb,NA,Sponges
crepidula adunca,NA,Molluscs
cribrinopsis fernaldi,NA,Corals and anemones
crossaster borealis,NA,Echinoderms
crossaster papposus,NA,Echinoderms
cryptacanthodes aleutensis,NA,Bony fishes
cryptacanthodes giganteus,NA,Bony fishes
cryptolithodes sitchensis,NA,Crustaceans
cryptolithodes typicus,NA,Crustaceans
cryptonatica affinis,NA,Molluscs
cryptopsaras couesii,190067,Bony fishes
cubiceps paradoxus,NA,Bony fishes
cucumaria miniata,NA,Echinoderms
cucumaria piperata,NA,Echinoderms
cuthona perca,NA,Molluscs
cyclothone acclinidens,18252612,Bony fishes
cyclothone acclinidens,60469890,Bony fishes
cyclothone alba,190300,Bony fishes
cyclothone atraria,137473683,Bony fishes
cyclothone braueri,198757,Bony fishes
cyclothone microdon,190133,Bony fishes
cyclothone pallida,18252619,Bony fishes
cyclothone pseudopallida,18252629,Bony fishes
cyclothone signata,137473695,Bony fishes
cyema atrum,18227109,Bony fishes
cylichna attonsa,NA,Molluscs
cylichnoides occultus,NA,Molluscs
cymatogaster aggregata,192929,Bony fishes
danaphos oculatus,137474579,Bony fishes
danaphryne nigrifilis,140348234,Bony fishes
dasycottus setiger,NA,Bony fishes
delphinapterus leucas,6335,Marine mammals
delphinapterus leucas,61442,Marine mammals
delphinus delphis,41762,Marine mammals
delphinus delphis,133729,Marine mammals
delphinus delphis,134817215,Marine mammals
delphinus delphis,156206333,Marine mammals
delphinus delphis,189865869,Marine mammals
dendraster excentricus,NA,Echinoderms
dendronotus frondosus,NA,Molluscs
dendronotus iris,NA,Molluscs
derichthys serpentinus,155093,Bony fishes
dermasterias imbricata,NA,Echinoderms
dermochelys coriacea,6494,Marine reptiles
dermochelys coriacea,46967807,Marine reptiles
dermochelys coriacea,46967817,Marine reptiles
dermochelys coriacea,46967827,Marine reptiles
dermochelys coriacea,46967838,Marine reptiles
dermochelys coriacea,46967863,Marine reptiles
dermochelys coriacea,46967873,Marine reptiles
desmophyllum dianthus,NA,Corals and anemones
desmophyllum pertusum,NA,Corals and anemones
diadumene cincta,NA,Corals and anemones
diadumene lineata,NA,Corals and anemones
diaphana californica,NA,Molluscs
diaphana minuta,NA,Molluscs
diaphoreolis viridis,NA,Molluscs
diaphus jenseni,130275086,Bony fishes
diaphus pacificus,130282441,Bony fishes
diaphus parri,130283033,Bony fishes
diaphus theta,130286297,Bony fishes
diaulula greeleyi,NA,Molluscs
diaulula sandiegensis,NA,Molluscs
dibranchus erinaceus,140300257,Bony fishes
dibranchus hystrix,140300290,Bony fishes
dibranchus nudivomer,140300357,Bony fishes
dibranchus spinosus,140300461,Bony fishes
dibranchus spongiosa,140300494,Bony fishes
diceratias pileatus,190089,Bony fishes
dicrolene filamentosa,137496751,Bony fishes
diopatra neapolitana,NA,Polychaetes
diopatra ornata,NA,Polychaetes
diplopteraster multipes,NA,Echinoderms
dipolydora caulleryi,NA,Polychaetes
dipolydora quadrilobata,NA,Polychaetes
dipolydora socialis,NA,Polychaetes
dipsacaster anoplus,NA,Echinoderms
diretmoides pauciradiatus,21110056,Bony fishes
dirona albolineata,NA,Molluscs
